Country,Company_Count,Deal_Count,Capital_Invested,Capital_Invested_M,Revenue,Revenue_Max,,,
United States,"71,150","181,524.00","3,832,098.10",1.48,12.22,"339,270.00",,,
United Kingdom,"12,243","25,896.00","416,953.61",0.85,5.39,"9,591.12",,,
Canada,"6,498","14,939","104,214.39",0.79,2.53,"6,245.08",,,
Afghanistan,2,3,-,-,-,-,,,
Albania,2,3,-,-,-,-,,,
Andorra,3,6,0.25,0.13,0.08,0.08,,,
Angola,1,1,-,-,-,-,,,
Anguilla,4,10,8.39,1.28,0.02,3.92,,,
Argentina,305,697.00,"1,606.21",0.08,31.22,"2,860.01",,,
Armenia,11,23,117.42,0.03,-,-,,,
Australia,"2,524","4,752","73,527.85",0.98,8.59,"29,715.56",,,
Austria,730,"1,365","5,381.94",0.49,12.95,"6,304.42",,,
Azerbaijan,14,37,66.85,0.69,-,-,,,
Bahamas,9,10.00,7.46,3.27,-,-,,,
Bahrain,11,21,"1,278.88",1.91,8.23,8.42,,,
Bangladesh,31,65,526.56,0.12,574.3,785.61,,,
Barbados,4,7,6.36,1.58,-,-,,,
Belarus,39,54,9.06,0.07,39.63,39.63,,,
Belgium,"1,133","2,185","13,122.55",0.6,7.15,"6,851.99",,,
Belize,10,14,112.89,12.83,5.85,5.85,,,
Benin,2,4,218.03,109.02,81.61,81.61,,,
Bermuda,25,100,"18,869.69",107.19,966.03,"2,756.11",,,
Bolivia,5,8,106.26,1.18,-,-,,,
Bosnia and Herzegovina,5,10,1.66,0.83,-,-,,,
Botswana,3,5,0,0,-,-,,,
Brazil,"1,251","2,478","64,185.22",1.06,41.48,"11,249.48",,,
British Virgin Islands,55,83.00,947.62,6.26,10.26,11.28,,,
Brunei,2,6,0.16,0.06,-,-,,,
Bulgaria,205,345,"1,419.50",0.04,6.54,546.37,,,
Cambodia,11,19,91.72,0.58,0,0,,,
Cameroon,10,23,315.9,0.03,-,-,,,
Cape Verde,1,3,12.87,12.87,-,-,,,
Cayman Islands,31,50.00,324.96,3.62,2.56,36.9,,,
Chad,1,2,-,-,-,-,,,
Chile,339,673,"7,690.79",0.03,39.97,"5,614.76",,,
China,"3,955","8,395","564,413.93",10.53,60.29,"66,859.95",,,
Colombia,177,323.00,"4,413.04",0.09,88.77,777.8,,,
Congo,2,4,0.61,0.2,-,-,,,
Costa Rica,42,69.00,82.59,0.09,-,-,,,
Croatia,122,201,219.86,0.01,35.32,357.67,,,
Cuba,2,2,-,-,-,-,,,
Curacao,9,15,23.3,0.36,-,-,,,
Cyprus,80,132,"1,410.77",0.85,10.33,287.03,,,
Czech Republic,359,612,"6,508.21",0.53,30.9,"2,580.94",,,
Denmark,"1,469","2,676","47,994.05",0.8,5.96,"53,881.01",,,
Djibouti,1,2,-,-,3.12,3.12,,,
Dominica,1,1,-,-,-,-,,,
Dominican Republic,8,11,59.49,0.12,-,-,,,
East Timor,1,3,6.52,6.52,-,-,,,
Ecuador,12,16,1.8,0.03,0,0,,,
Egypt,162,311,642.29,0.01,4.09,96.13,,,
El Salvador,8,11,525.34,0.22,89.16,215.16,,,
Estonia,258,509,640.66,0.07,2.89,58.98,,,
Ethiopia,8,16,15.83,1.34,-,-,,,
Falkland Islands,1,1,-,-,-,-,,,
Fiji,2,5,0.82,0.82,-,-,,,
Finland,"1,300","2,739","45,898.90",0.91,0.85,"20,156.56",,,
France,"6,483","12,998","163,190.94",1.06,2.32,"99,390.04",,,
Gabon,1,2,80.84,80.84,-,-,,,
Georgia,19,31,967.82,34.46,34.65,41.82,,,
Germany,"5,647","11,330.00","343,834.40",1.77,16.53,"47,421.00",,,
Ghana,59,133,445.02,0.06,31.65,227.21,,,
Gibraltar,27,51,"4,843.01",4.34,9.81,439.13,,,
Greece,165,312,"7,592.51",0.32,162.34,"1,886.36",,,
Greenland,2,2,-,-,-,-,,,
Guatemala,18,39,21.57,0.14,-,-,,,
Haiti,2,6,1.88,0.12,-,-,,,
Honduras,11,18,25.55,0.34,-,-,,,
Hong Kong,595,"1,236","39,116.02",1.28,64.04,"32,139.75",,,
Hungary,253,438,984.73,0.24,1.85,931.78,,,
Iceland,87,192,307.71,0.18,0.8,35.85,,,
India,"4,608","10,340","214,212.48",0.88,9.28,"14,359.48",,,
Indonesia,342,668,"9,914.55",0.67,238.81,"1,317.06",,,
Iran,22,38,133.03,0.58,-,-,,,
Iraq,2,5,821.25,821.25,-,-,,,
Ireland,"1,270","2,945","31,523.95",0.58,9,"10,123.48",,,
Israel,"2,288","5,441","55,824.63",1.73,11.17,"9,644.33",,,
Italy,"1,991","3,750","76,313.87",0.45,20.84,"64,335.39",,,
